trial,t_low,t_high,radius,top_n,dice,hausdorff,score
278,1.354999950899423,74.40928338759929,3,2,0.8878260197734335,32.07802986469088,0.8557479899087426
282,1.3821334215306642,74.99141646730733,3,2,0.8878260197734335,32.07802986469088,0.8557479899087426
297,1.389881582071105,78.08385235952159,3,2,0.8866123498240646,32.07802986469088,0.8545343199593737
392,1.997814425180941,79.88309908960903,3,2,0.8865506644771087,32.07802986469088,0.8544726346124178
267,1.1812965634193044,80.76217287898953,3,2,0.8863691141396374,32.07802986469088,0.8542910842749465
271,1.328980080542346,80.40454950263151,3,2,0.8863691141396374,32.07802986469088,0.8542910842749465
379,1.4568434140651751,80.87634902127377,3,2,0.8863691141396374,32.07802986469088,0.8542910842749465
386,1.7023131676669108,81.88594941720635,3,2,0.8862431865029786,32.07802986469088,0.8541651566382877
293,1.3302069652487072,81.35976541801911,3,2,0.8862431865029786,32.07802986469088,0.8541651566382877
311,1.3083795653711,81.04128609518881,3,2,0.8862431865029786,32.07802986469088,0.8541651566382877
