trial,t_marker_bg,t_marker_fg,radius_closing,dice,hausdorff,score
282,100.14584644167108,0.19990707470888913,1,0.9651901450768307,25.942243542145693,0.939247901534685
163,100.4129723443462,2.22136994739602,1,0.9651901450768307,25.942243542145693,0.939247901534685
165,100.45427661115109,1.5823736441179872,1,0.9651901450768307,25.942243542145693,0.939247901534685
167,100.12104810880112,15.073236883154904,1,0.9651502145922747,25.942243542145693,0.939207971050129
258,100.52114137142637,13.86499422243496,1,0.9651487188291343,25.942243542145693,0.9392064752869886
217,100.01173786900686,14.298883583976133,1,0.9651487188291343,25.942243542145693,0.9392064752869886
220,100.29748257043089,14.141596871045074,1,0.9651487188291343,25.942243542145693,0.9392064752869886
216,100.36193864374245,14.08972193728801,1,0.9651487188291343,25.942243542145693,0.9392064752869886
214,100.02700027692973,14.286300486559973,1,0.9651487188291343,25.942243542145693,0.9392064752869886
205,100.9999662510775,14.164134086363969,1,0.9651487188291343,25.942243542145693,0.9392064752869886
